CountryName,Province,Area,HealthExpenditure,LifeExpectancy,Population,ExtraColumn
Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income),8775231.992,245.0346535,73.39427025,382896715,382896715
Montenegro,Montenegro,13810,531.7323024,76.667,622345,622345
Mongolia,Mongolia,1564120,140.7082037,69.509,3170208,3170208
Northern Mariana Islands,Northern Mariana Islands,460,,,56882,56882
Mozambique,Mozambique,786380,19.20749469,59.309,29495962,29495962
Mauritania,Mauritania,1030700,46.77139384,64.464,4403319,4403319
Mauritius,Mauritius,2040,553.0965277,74.51463415,1265303,1265303
Malawi,Malawi,118480,29.58739886,63.279,18143315,18143315
Malaysia,Malaysia,330345,361.5219737,75.828,31528585,31528585
North America,North America,19820470,9325.705891,78.9142768,364290258,364290258
Namibia,Namibia,824290,402.7570179,63.021,2448255,2448255
New Caledonia,New Caledonia,18580,,77.14878049,284060,284060
Niger,Niger,1267000,22.68333964,61.599,22442948,22442948
Nigeria,Nigeria,923770,79.33990545,53.95,195874740,195874740
Nicaragua,Nicaragua,130370,188.158313,74.068,6465513,6465513
Netherlands,Netherlands,41540,4742.030274,81.56097561,17231017,17231017
Norway,Norway,625217.1094,7477.897607,82.5097561,5314336,5314336
Nepal,Nepal,147180,45.45297766,70.169,28087871,28087871
Nauru,Nauru,20,1012.34966,,12704,12704
New Zealand,New Zealand,267710,3745.216461,81.65853659,4885500,4885500
OECD members,OECD members,36570179.11,4667.56705,80.13846573,1303529456,1303529456
Oman,Oman,309500,648.2772466,77.393,4829483,4829483
Other small states,Other small states,2072942.999,611.7638062,68.20548751,30758989,30758989
Pakistan,Pakistan,796100,39.57887533,66.947,212215030,212215030
Panama,Panama,75420,1040.673192,78.149,4176873,4176873
Peru,Peru,1285220,316.437135,76.286,31989256,31989256
Philippines,Philippines,300000,129.4326091,70.952,106651922,106651922
Palau,Palau,460,1674.089909,69.12926829,17907,17907
Papua New Guinea,Papua New Guinea,462840,55.15180669,64.01,8606316,8606316
Poland,Poland,312680,809.0149024,77.85121951,37978548,37978548
Pre-demographic dividend,Pre-demographic dividend,18149307.99,61.15891619,60.42746691,919485393,919485393
Puerto Rico,Puerto Rico,8870,,79.63453659,3195153,3195153
Korea. South,Korea. South,120540,,71.91,25549819,25549819
Portugal,Portugal,92225.5957,1800.859919,81.12439024,10281762,10281762
Paraguay,Paraguay,406751.9922,327.2351051,73.992,6956071,6956071
West Bank and Gaza,West Bank and Gaza,6020,,73.74,4569087,4569087
Pacific island small states,Pacific island small states,65150,200.8257541,69.77428378,2457367,2457367
Post-demographic dividend,Post-demographic dividend,33539743.51,5352.171941,80.61363761,1109997273,1109997273
French Polynesia,French Polynesia,4000,,77.251,277679,277679
Qatar,Qatar,11610,1827.060344,79.981,2781677,2781677
Romania,Romania,238400,476.3683087,75.3097561,19473936,19473936
Russia,Russian Federation,17098250,469.1308678,72.11902439,144478050,144478050
Rwanda,Rwanda,26340,48.07821533,68.341,12301939,12301939
South Asia,South Asia,5135333.062,58.49732028,69.1713119,1814388744,1814388744
Saudi Arabia,Saudi Arabia,2149690,1147.33297,74.874,33699947,33699947
Sudan,Sudan,,152.0221409,64.881,41801533,41801533
Senegal,Senegal,196710,52.60971245,67.38,15854360,15854360
Singapore,Singapore,719.0000153,2462.393677,82.89512195,5638676,5638676
Solomon Islands,Solomon Islands,28900,106.3393944,72.645,652858,652858
Sierra Leone,Sierra Leone,72300,86.30818595,53.895,7650154,7650154
El Salvador,El Salvador,21040,293.8725567,72.872,6420744,6420744
San Marino,San Marino,60,3012.794236,85.41707317,33785,33785
Somalia,Somalia,637660,,56.709,15008154,15008154
Serbia,Serbia,88360,494.420584,76.08780488,6982084,6982084
South Sudan,South Sudan,,,57.365,10975920,10975920
Sub-Saharan Africa,Sub-Saharan Africa,21754456,78.37422732,60.88000237,1078306520,1078306520
Small states,Small states,2573082.999,578.4661829,69.2613898,40575321,40575321
Sao Tome and Principe,Sao Tome and Principe,960,105.1343853,69.933,211028,211028
Suriname,Suriname,163820,356.0514832,71.463,575991,575991
Slovakia,Slovakia,49030,1178.738231,77.16585366,5447011,5447011
Slovenia,Slovenia,20675,1834.160712,81.17560976,2067372,2067372
Sweden,Sweden,447430,5710.591419,82.30731707,10183175,10183175
Eswatini,Eswatini,17360,220.5867326,58.319,1136191,1136191
Sint Maarten (Dutch part),Sint Maarten (Dutch part),34,,73.05365854,40654,40654
Seychelles,Seychelles,460,596.9230706,74.3,96762,96762
Syrian Arab Republic,Syrian Arab Republic,185180,66.14174239,70.967,16906283,16906283
Turks and Caicos Islands,Turks and Caicos Islands,950,,,37665,37665
Chad,Chad,1284000,31.68594246,53.712,15477751,15477751
East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (IDA & IBRD countries),16152595,313.6561373,75.0333589,2056064424,2056064424
Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),23842881.88,412.5274326,73.80835432,459865205,459865205
Togo,Togo,56790,38.77137729,60.489,7889094,7889094
Thailand,Thailand,513120,221.917676,76.683,69428524,69428524
Tajikistan,Tajikistan,141380,55.69698772,70.647,9100837,9100837
Turkmenistan,Turkmenistan,488100,422.8488287,67.956,5850908,5850908
Latin America & the Caribbean (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),20290595.98,683.5475065,75.19246541,625569713,625569713
Timor-Leste,Timor-Leste,14870,79.89393546,69.007,1267972,1267972
